"ET","NEE ","ER","GPP","TMAX","TMIN","TAVG","HAVG","HDEG","CDEG","WCMN","WSPD","ATOT","RAIN","EVI"
"2.309094755","-2.9608425524071","2.1335866663938","5.0944292188009","80.83","43.69","61.2","68.34","2.74","0","41.38","6.04","17.04","0.01","0.479"
"2.7831424105","-1.4546377138938","2.423956285354","3.8785939992478","70.63","45.37","59.11","67.7","7","0","44.75","8.01","16.62","0","0.5017"
"2.7239138605","-2.3172222919381","3.211268320115","5.5284906120531","82.17","42.67","61.7","72.43","2.58","0","44.25","9.18","16.43","0","0.5244"
"2.0165593","-0.74623221238938","3.4773212166372","4.2235534290265","68.79","51.31","61.28","76.49","4.95","0","-996","13.81","8.14","0","0.5471"
"1.9512024","0.56119045444248","2.5244592550168","1.9632688005743","54.41","46.53","49.99","75.2","14.53","0","40.1","10.78","2.26","0.2","0.5698"
"2.1862921913","-3.1238640457965","2.4739124007345","5.597776446531","61.83","42.27","50.36","65.53","12.95","0","38.27","6.13","14.96","0","0.5925"
"2.060117013","-3.1335329930973","2.5903907039469","5.7239236970442","61.3","42.51","50.48","65.42","13.09","0","38.51","7.5","12.14","0","0.6152"
"1.9482678","-2.280226460177","2.8381646389476","5.1183910991246","65.75","43.54","53.54","68.24","10.35","0","38.27","11.71","10.11","0","0.6379"
"2.0617901","-3.1603667163451","2.3676839839911","5.5280507003363","58.57","38.87","47.55","70.26","16.28","0","33.62","7.85","15.58","0","0.6606"
"2.4514855839","-3.6007592006549","2.8110545262478","6.4118137269027","70.14","40.03","55.37","65.93","9.92","0","37.95","10.9","15.46","0","0.6833"
"1.8899502754","-1.8394027397522","2.4003597139646","4.2397624537168","71.69","37.82","53.22","65.11","10.24","0","34.81","6.93","15.33","0","0.706"
"2.2585762","-2.262465285531","2.0108067343805","4.2732720199115","59.09","42.38","49.48","62","14.27","0","35.86","13.04","9.72","0","0.7128"
"1.0128801611","-0.092963052","2.5756196113274","2.6685826633274","46.8","36.4","41.94","84.12","23.4","0","26.87","10.09","1.89","0.03","0.7196"
"2.0166323","-3.8398493705575","1.4758655633363","5.3157149338938","50.99","24.26","38.03","74.26","27.37","0","15.74","11.26","14.52","0","0.7264"
"1.4255934648","-2.2022830056903","1.2636399052832","3.4659229109735","51.78","19.48","34.85","64.65","29.37","0","11.2","11.43","15.04","0","0.7332"
"0.9575556","-0.45647328838938","1.5402153717876","1.996688660177","48.58","37.28","43.39","63.5","22.07","0","29.62","10.4","3.84","0","0.74"
"1.2620010926","0.58482955584956","1.6300380733805","1.045208517531","41.38","22.26","29.68","89.99","33.18","0","9.52","19.67","2.88","0.04","0.7468"
"0.6416967545","-0.60571218592035","0.85341003132743","1.4591222172478","31","16.34","21.95","83.56","41.33","0","3.02","9.19","15.52","0.08","0.7536"
"0.5883726343","-3.4828067409292","0.83521203252212","4.3180187734513","44.84","16.03","28.55","74.7","34.56","0","9.67","3.13","14.69","0.11","0.7604"
"1.7306621","-1.986426010354","2.2777418461062","4.2641678564602","68.49","25.91","44.67","61.96","17.8","0","18.36","8.12","14.62","0","0.7672"
"1.2531722828","-1.8597462213982","2.4959472550885","4.3556934764867","68.07","33.79","48.34","69.47","14.07","0","27.43","7.84","14.26","0","0.774"
"1.5848738","-4.1408188680266","1.9140912563097","6.0549101243363","57.92","31.65","42.24","77.45","20.21","0","19.64","12.84","11.9","0","0.7895"
"0.5980223437","-0.50535375961062","1.830646604915","2.3360003645257","31.83","25.06","28.73","93.9","36.55","0","15.32","8.76","2.88","0","0.805"
"1.0701676192","-2.9629424829027","1.7104050213451","4.6733475042478","54.28","20.21","35.46","75.84","27.75","0","15.13","5.61","14.05","0","0.8205"
"1.0018086307","-2.9710658032566","1.7799322506372","4.7509980538938","56.14","26.31","38.81","72.66","23.78","0","20.91","5.03","13.79","0.01","0.836"
"1.237362483","-2.6303408933894","1.936714007708","4.5670549010973","59.67","28.32","42.2","67.34","21.01","0","22.05","8.89","11.28","0","0.8515"
"1.5201958","-2.7976277170354","2.248740005177","5.0463677222124","63.75","33.18","47.76","64.27","16.54","0","26.6","11.71","12.37","0","0.867"
"1.9500823537","-2.0720734426991","2.9356041396903","5.0076775823894","69.12","40.74","54.62","56.29","10.07","0","36.18","15.37","12.96","0","0.8825"
"1.6298662404","-1.6784462352743","2.6662640380885","4.3447102733628","67.84","28.94","51.08","50.75","16.61","0","25.74","10","13.37","0","0.898"
"1.2637541","-1.5342116814159","1.9092542495575","3.4434659309735","55.24","26.92","38.91","65.5","23.92","0","16.62","19.28","5.68","0","0.8615"
"0.8179487648","-2.9819212206372","1.2446149041956","4.2265361248327","50.27","20.51","33.05","74.24","29.61","0","11.47","7.12","13.36","0","0.825"
"0.6495509778","-2.6889709797876","1.0022338263186","3.6912048061062","50.5","23.3","34.99","74.1","28.1","0","16.32","4.65","13.1","0","0.8228"
"1.0029903182","-3.2865754136018","1.1247586978142","4.4113341114159","60.26","27.94","41.3","71.11","20.9","0","20.79","7.18","12.63","0","0.8206"
"0.8959600104","-2.7235157909735","1.3249505134513","4.0484663044248","63.59","26.57","42.79","74.18","19.92","0","23.14","5.06","12.68","0","0.8184"
"0.6505389452","-0.17912765023009","1.8681504225133","2.0472780727434","62.76","28.26","49.17","88.92","19.49","0","27.81","6.92","2.98","0.01","0.8162"
"1.7583320857","-1.9371286536372","1.7997472163628","3.73687587","63.9","37.42","51.17","54.99","14.34","0","30.74","16.99","12.66","0","0.814"
"1.1260355266","-3.6710655816106","1.187300545646","4.8583661272566","54.1","27.54","40.12","70.04","24.18","0","19.24","8.64","12.66","0","0.82866666666667"
"0.6754947106","-2.6979178734956","0.8219655410177","3.5198834145133","34.5","27.27","30.64","79.34","34.12","0","18.06","10.4","5.79","0","0.84333333333333"
"0.4054344226","-2.170145967531","0.64580085884071","2.8159468263717","34.42","19.37","27.65","79.37","38.11","0","12.04","5.79","5.24","0","0.858"
"1.0152877376","-2.6990193705133","1.2123613281345","3.9113806986478","51.84","18.14","36.61","67.45","30.01","0","13.49","10.31","12.24","0","0.87266666666667"
"0.7391323","-1.2280651327434","1.604108004292","2.8321731370354","45.94","35.14","41.5","66.45","24.46","0","26.81","13.38","3.41","0","0.88733333333333"
"0.4392269548","-0.8835184789646","0.94948014921212","1.8329986281767","35.11","29.22","31.16","79.89","32.84","0","19.66","9.6","2.19","0","0.902"
"0.5982569","-2.0164794690265","0.94110535795221","2.9575848269788","37.21","28.55","32.87","74.45","32.12","0","17.59","10.48","3.83","0","0.91666666666667"
