ET,NEE,ER,GPP,TMAX,TMIN,TAVG,HAVG,HDEG,CDEG,WCMN,WSPD,ATOT,RAIN,EVI
2.309094755,-2.96084255240708,2.133586666393806,5.094429218800886,80.83,43.69,61.2,68.34,2.74,0,41.38,6.04,17.04,0.01,0.479
2.7831424105,-1.454637713893805,2.423956285353982,3.878593999247788,70.63,45.37,59.11,67.7,7,0,44.75,8.01,16.62,0,0.5017
2.7239138605,-2.317222291938054,3.211268320115044,5.528490612053099,82.17,42.67,61.7,72.43,2.58,0,44.25,9.18,16.43,0,0.5244
2.0165593,-0.746232212389381,3.477321216637169,4.223553429026548,68.79,51.31,61.28,76.49,4.95,0,-996,13.81,8.14,0,0.5470999999999999
1.951202399999999,0.5611904544424782,2.524459255016815,1.963268800574336,54.41,46.53,49.99,75.2,14.53,0,40.1,10.78,2.26,0.2,0.5698
2.1862921913,-3.12386404579646,2.473912400734513,5.597776446530974,61.83,42.27,50.36,65.53,12.95,0,38.27,6.13,14.96,0,0.5925
2.060117013000001,-3.133532993097345,2.590390703946903,5.723923697044248,61.3,42.51,50.48,65.42,13.09,0,38.51,7.5,12.14,0,0.6152
1.948267799999999,-2.280226460176991,2.838164638947611,5.118391099124602,65.75,43.54,53.54,68.24,10.35,0,38.27,11.71,10.11,0,0.6378999999999999
2.0617901,-3.160366716345132,2.36768398399115,5.528050700336283,58.57,38.87,47.55,70.26,16.28,0,33.62,7.85,15.58,0,0.6606
2.451485583899999,-3.600759200654869,2.811054526247788,6.411813726902655,70.14,40.03,55.37,65.93,9.92,0,37.95,10.9,15.46,0,0.6833
1.8899502754,-1.839402739752213,2.400359713964602,4.239762453716815,71.69,37.82,53.22,65.11,10.24,0,34.81,6.93,15.33,0,0.706
2.2585762,-2.262465285530974,2.010806734380532,4.273272019911505,59.09,42.38,49.48,62,14.27,0,35.86,13.04,9.72,0,0.7128
1.0128801611,-0.09296305199999991,2.575619611327433,2.668582663327434,46.8,36.4,41.94,84.12,23.4,0,26.87,10.09,1.89,0.03,0.7196
2.016632299999999,-3.839849370557522,1.475865563336283,5.315714933893806,50.99,24.26,38.03,74.26,27.37,0,15.74,11.26,14.52,0,0.7263999999999999
1.425593464799999,-2.202283005690265,1.263639905283186,3.465922910973451,51.78,19.48,34.85,64.65,29.37,0,11.2,11.43,15.04,0,0.7332
0.9575555999999998,-0.4564732883893806,1.540215371787611,1.996688660176991,48.58,37.28,43.39,63.5,22.07,0,29.62,10.4,3.84,0,0.74
1.2620010926,0.5848295558495578,1.630038073380531,1.045208517530974,41.38,22.26,29.68,89.99,33.18,0,9.52,19.67,2.88,0.04,0.7468
0.6416967545000002,-0.605712185920354,0.8534100313274338,1.459122217247788,31,16.34,21.95,83.56,41.33,0,3.02,9.19,15.52,0.08,0.7536
0.5883726342999999,-3.482806740929204,0.8352120325221241,4.318018773451328,44.84,16.03,28.55,74.7,34.56,0,9.67,3.13,14.69,0.11,0.7604
1.7306621,-1.986426010353983,2.277741846106195,4.264167856460178,68.49,25.91,44.67,61.96,17.8,0,18.36,8.12,14.62,0,0.7672
1.253172282799999,-1.859746221398229,2.495947255088495,4.355693476486725,68.07,33.79,48.34,69.47,14.07,0,27.43,7.84,14.26,0,0.774
1.5848738,-4.140818868026551,1.914091256309735,6.054910124336285,57.92,31.65,42.24,77.45,20.21,0,19.64,12.84,11.9,0,0.7895
0.5980223437000001,-0.5053537596106196,1.830646604915045,2.336000364525664,31.83,25.06,28.73,93.9,36.55,0,15.32,8.76,2.88,0,0.805
1.0701676192,-2.962942482902654,1.710405021345133,4.673347504247787,54.28,20.21,35.46,75.84,27.75,0,15.13,5.61,14.05,0,0.8205
1.0018086307,-2.971065803256637,1.779932250637168,4.750998053893808,56.14,26.31,38.81,72.66,23.78,0,20.91,5.03,13.79,0.01,0.8360000000000001
1.237362483,-2.630340893389381,1.936714007707964,4.567054901097345,59.67,28.32,42.2,67.34,21.01,0,22.05,8.89,11.28,0,0.8515
1.5201958,-2.797627717035398,2.248740005176991,5.04636772221239,63.75,33.18,47.76,64.27,16.54,0,26.6,11.71,12.37,0,0.867
1.9500823537,-2.072073442699116,2.935604139690264,5.00767758238938,69.12,40.74,54.62,56.29,10.07,0,36.18,15.37,12.96,0,0.8825000000000001
1.6298662404,-1.678446235274336,2.666264038088496,4.344710273362833,67.84,28.94,51.08,50.75,16.61,0,25.74,10,13.37,0,0.898
1.2637541,-1.534211681415929,1.909254249557522,3.443465930973452,55.24,26.92,38.91,65.5,23.92,0,16.62,19.28,5.68,0,0.8614999999999999
0.8179487648,-2.981921220637169,1.244614904195575,4.226536124832744,50.27,20.51,33.05,74.24,29.61,0,11.47,7.12,13.36,0,0.825
0.6495509778000003,-2.68897097978761,1.002233826318584,3.691204806106195,50.5,23.3,34.99,74.1,28.1,0,16.32,4.65,13.1,0,0.8228
1.0029903182,-3.286575413601771,1.124758697814159,4.411334111415931,60.26,27.94,41.3,71.11,20.9,0,20.79,7.18,12.63,0,0.8206
0.8959600104000001,-2.723515790973452,1.324950513451327,4.04846630442478,63.59,26.57,42.79,74.18,19.92,0,23.14,5.06,12.68,0,0.8183999999999999
0.6505389451999998,-0.1791276502300884,1.868150422513275,2.047278072743363,62.76,28.26,49.17,88.92,19.49,0,27.81,6.92,2.98,0.01,0.8161999999999999
1.7583320857,-1.937128653637169,1.799747216362832,3.736875870000001,63.9,37.42,51.17,54.99,14.34,0,30.74,16.99,12.66,0,0.814
1.1260355266,-3.671065581610619,1.187300545646018,4.858366127256637,54.1,27.54,40.12,70.04,24.18,0,19.24,8.64,12.66,0,0.8286666666666667
